Dataset,Group,Model,Category,TNNT-Category,Entity,COR,INC,PAR,SPU,MIS,IGN
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Haidar",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Alsumaria",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Assad",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Twitter ABlinken",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sadiq",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ibrahim Al Ja",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Imad Fakhoury.",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Rupert Colville",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Zahid Mohammed Rawi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","One man",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Omar",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Kitab Al Jilwah",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Saddam",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ghadiya",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bashar al Assad",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Marea",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","A man",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Defence Secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","A non - governmental security analyst",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","A local physician",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Badr",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","al Zarqawi",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","an Iraqi tribal sheikh",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Operation Sayeed Hunter",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","3 Qanbar",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Coe",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Prime Minister Abadi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Hammond",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Haider al Abadi",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mogherini",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","AQI",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jamal Alzoubi. `` Samarra Barrage Arabic",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Daquq",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the Iraqi commander",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Townsend",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a soldier",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Scott C. Dayton",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Iraqi Prime Minister Nouri al - Maliki",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Maliki",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Karbouly",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Al Jubeir today",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","His Chief of Staff",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bassel al - Assad",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a tribal leader",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abadi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Defeating ISIL",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ally",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","one of our brave service members",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Jandal al Kuwaiti",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Ar Raqqah",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Ayyub Al Masri",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Brett McGurk",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bassel al Assad",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","The CJTF - OIR commanding general",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","al - Zarqawi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Da esh",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ahmed Shawqi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Albert Connelly",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Anas Ahmad",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Al Bu Nimr",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Haider Al Abadi",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Prime Minister Al - Abadi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Omar al Ansari.",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Al Huwayjah",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","my wife",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the resident leader of anti - coalition forces",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Forbin",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Julie Bishop",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Philip Hammond",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ziad Khalaf al - Karbouly",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","lieutenant Muath al - Kasasbeh",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Blinken",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Tobias Ellwood",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the CJTF - OIR spokesperson",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Cook",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Richard ' Tex",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Musab al - Zarqawi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Qanbar",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Nouri Maliki",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sajida Mubarak Atrous al Rishawi",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Ayyub Al - Masri",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Caughlin",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lyons",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ziad Khalaf al Karbouly",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","David C. Lyons",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Boris Johnson Petty",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Fuad Masum",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Jandal",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Saperstein",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","One young girl",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ash Carter today",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mohamed Moumou",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Dayr Az Zayr",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","her younger brother",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","The head of the country ' s counter - terrorism operations",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Shakespeare",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Prime Minister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Instagram",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Gareth Bayley",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ash Carter",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Foreign Secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Petty",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lt Gen Sergei Rudskoi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Brig",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","sister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mevl",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sergei Lavrov earlier today",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","myself",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","ISIL",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Asad",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mr Colville",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Ghadiya",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","this hero",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","al - Tanawi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Christophe Cluzel",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the musician",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","King Nebuchadnezzar II",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Raqqah",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Daesh",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Muath al Kasasbeh",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mohan al Freiji",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Kerry",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a spokesman",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","The Prime Minister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","USS Mahan DDG 72",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Minister of Foreign Affairs of Iraq",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","John Kirby",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Davis",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Coode",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Keating",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Another resident",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Saddam Hussein '",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lama Fakih",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a new Prime Minister - designate",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abdulbaset Alahmar",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Carter",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","HE Dr Ibrahim Al - Ja ’ afari",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sadiq Maroof",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Votel",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Islam",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Al Qa '",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Nouri al Maliki",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Special Advisor Thames",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the President of Syria",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the carpenter",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Nechirvan Barzani",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Booker",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abd Alamir",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ahmed Kamil Murad",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bashar al - Assad",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Badran Turki Hishan al - Mazidi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jeff Davis",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Zublin",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Joseph L. Votel",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Gary J. Volesky",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Knox Thames",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","The Minister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a former civil engineering student",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sheikh Abu Omar al - Ansari",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the Iraqi Foreign Minister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Ghadiya Arabic",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","John ' J. D. ' Dorrian",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","SECRETARY KERRY",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","al Tanawi",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Spc",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","My",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","one hostage",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Dayr Az Zawr",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the Deputy Secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the young man",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","She",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Eid",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Joseph Votel",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Omar Abu Anas",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Al Shadaddi",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lorraine Walsh",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the prime minister",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Badran Turki Hishan al Mazidi Arabic",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jonathan Cohen",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Obama",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Jordanian planning minister , Imad Fakhoury",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Anas",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Capt",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Musab al Zarqawi",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Zarqawi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a senior Iraqi general",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mohan al - Freiji",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mr Alzoubi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the UN High Commissioner for Refugees",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Manal",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Envoy Staffan de Mistura",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","al Rahman Farms",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","a middle - aged carpenter",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Ellwood",0,0,1,0,0,0
