Dataset,Group,Model,Category,TNNT-Category,Entity,COR,INC,PAR,SPU,MIS,IGN
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Robert E. Yancey",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","david",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","MMoretti",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Bing Yu",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Robert E Yancey",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","James P Walker",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","corre",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Michael Moretti",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Frank Wouters",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Chen Shuning",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Douglas S Lambell Douglas S Lambell",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Ashford",0,1,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Zhang Jilun",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Nancy E",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","DOCSTART LOAN",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lender",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Richard Chleboski",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Bing Yu "" Borrower",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","DEphraim riemerlaw",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","David Brooks",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","the Controller of Borrower",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","BORROWER",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","DFischer goldhillcapital",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","LENDER",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Holder",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lender 2 1",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","SILICON VALLEY BANK",0,1,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Sidney X Huang",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","David Fischer",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","EACH PARTY HAS REVIEWED",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Permitted Lien",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Paul Sagan",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Borrower 6 9",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Douglas S Lambell",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lender 2 2 2 2",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Brink",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","LOAN",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Charles E Brinley",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Michael Morreti",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Peter Case Peter Case",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Richard G Chleboski",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Borrower",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Keith Love",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Servicer",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Richard G",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Shi Rongbin",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lien",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","BANK",0,1,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","lender",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lenders",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","David Corre",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","David A",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Sidney X . Huang",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Liens",0,0,0,1,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Lenders ' Lien",0,0,1,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Jonathan Medved",1,0,0,0,0,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","david",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","MMoretti",0,0,0,0,1,0
"SEC_Filings","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person","Bing Yu",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","C. F. R.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","S. T. Fax",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Richard G. Page",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Charles E",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David Corre Fax",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","L. P.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Signature Page",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Worksoft",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Saint Auban",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Bonds",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Shi Rongbin",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","lender",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","DEphraim",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","corre",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Michael Moretti",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Chen Shuning",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Bond",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","James River",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Signature",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Convey",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Bartlett Street",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David Fischer",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","E. Brinley",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David A. Ephraim",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Solvency",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Borrower",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Shuning Name",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David Fischer Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Peter",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","James P. Walker Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Douglas S. Lambell",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Manager Signature",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","MMoretti",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","George Town",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Grace",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David Brooks Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Richard Chleboski",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Notwithstanding",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","BORROWER",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Jonathan Medved Name",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","David Fischer Name",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","R.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Michael Morreti Name",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","P. R.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Lien",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Bartlett Street Marlboro",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Person",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Hutchins Drive",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Lane",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Each Holder",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Sidney X . Huang",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Jonathan Medved",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","david",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","HERBERT SMITH",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Bing Yu",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Frank Wouters",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Zhang Jilun",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","L.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","N. A",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Michael Morreti Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Returns",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Jinjia Village",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","LENDER",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Holder",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Wellesley",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","DFischer",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Sidney X. Huang",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","William St",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","WITNESS WHEREOF",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","L. P",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Richard G. Chleboski",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Jonathan Medved Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Ste",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Broadway",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Paul Sagan Title",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Nancy E.",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","A.",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","PER","tnnt:Person","Keith Love",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Robert E Yancey",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","James P Walker",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","corre",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Michael Moretti",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Riemer Braunstein LLP Three Center Plaza Boston",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Frank Wouters",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Chen Shuning",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Douglas S Lambell Douglas S Lambell",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Ashford",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Zhang Jilun",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Nancy E",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Hereinafter",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Richard Chleboski",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","HERETO",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","DEphraim riemerlaw",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","David Brooks",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","BORROWER",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","DFischer",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Sidney X Huang",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","David Fischer",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","EVERGREEN SOLAR",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","HERBERT",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Paul Sagan",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Douglas S Lambell",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","LOAN",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Charles E Brinley",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Michael Morreti",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Peter Case Peter Case",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Richard G Chleboski",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Borrower",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Keith Love",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Servicer",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Richard G",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","SHALL",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Bonds",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Shi Rongbin",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","BANK",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","lender",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Yigal Allon",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","David A Ephraim",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","David Corre",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","GOLD",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Sidney X . Huang",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Liens",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","By PRISA III Fund GP , LLC",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Jonathan Medved",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","david",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","MMoretti",0,0,0,0,1,0
"SEC_Filings","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person","Bing Yu",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","SILICIUM DE PROVENCE SAS",1,0,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Borrower and the Bank",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Letter of Credit",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Application of Payments and Proceeds",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Borrower ' s Subsidiaries",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Domestic Accounts Receivable",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Borrower Transfer",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Newport News Treatment Plant",0,1,0,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Gold Hill Venture Lending",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Affiliates . Directly",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Borrower grants Bank",0,0,1,0,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Capitalized",0,0,0,1,0,0
"SEC_Filings","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation","Ratings Group",0,0,0,1,0,0
